慈善公社をサンジョする。	賛助
五輪のキョウサン企業。	協賛
最大級 of サンビを送る。	賛美
先人の偉業をサンスル。	賛
ゾサッな扱いにたえしのぶ。	雑作
ゾウキ林の中を歩く。	雑木
正しくゾウキンがけをする。	雑巾
ザッタな展示物が並ぶ。	雑多
コンザツした店内。	混雑
細かいミスがサンケされる。	散見
男女共同サンカク社会の実現。	参画
自然文学理論とそのショサン。	所産
モダンな考え方をサンする。	賛
有権者のシンを十全に得る。	信
独立運動をシエンする。	支援
運営にシンヨウをきたす。	信用
シュウシのバランスが良い。	収支
旅行のシタクを始める。	支度
責任のショザイを明言する。	所在
タサイな活躍を見せる。	多彩
セイサイを欠いた話し方。	精彩
ひときわサイを放つ。	彩
サイサン注意を促す。	再三
新機能をサイヨウする。	採用
ゴクサイシキの志を抱く。	極彩色
サイケツする。	採決
サイソクに苦しむ。	催促
資金のタイサクを講じる。	対策
事故防止のサクを立てる。	策
上役のシッサクを計画する。	失策
上役の失策をカクサクする。	画策
サクリャクをめぐらす。	策略
サンサクする。	散策
事前にサッチする。	察知
おおよそのスイサツがつく。	推察
敵国の情勢をササツする。	査察
二つのソウジな図形。	相似
ヒット作にコクジした作品。	酷似
日本とキンジする気候の国。	近似
ルイジする事例を探す。	類似
選手としてのシツがある。	資質
シンシツ剛健な気風をもつ。	質実
キンシツな製品をつくる.	均質
条約交渉でゲンチを取る。	言質
道路ヒョウシに従う。	標識
閣僚で個人をシッシする。	指斥
この件でニンシキを改める。	認識
旅をしてケンシを深める。	見識
ユウシ者の集まり。	有志
あとがきでシャジを述べる。	謝辞
シュウジを凝らした文章。	修辞
ほめたのはシャジレイだ。	社交辞令
閣僚へのシッツを述べる。	訓辞
大会出場をジタイする。	辞退
芸術シジョウ主義の作家。	至上
シゴク当然の判決だ。	至極
シフクのひととき。	至福
なつかしいシタイ。	姿態
ヨウシで人を判断するな。	容姿
シシをなげうって取り組む。	私心
取引先とのメイシ交換。	名刺
政策をフウシした作品。	風刺
中間の差引にシゲキされる。	刺激
感染タイサクを講じる。	対策
論文のヨウシをまとめる。	要旨
シュシを理解して会に臨む。	趣旨
日本をジュウダンする旅。	縦断
ジュウオウに走り回る。	縦横
ジュウレツを組んで進む。	縦列
ジュウライの見方が覆る。	従来
医療にジュウジしたい。	従事
人の意見にツイジュウする。	追従
敵国にジュウゾクする。	従属
命にフクジュウする。	服従
規模をシュクショウする。	縮小
機関をソウジュウする。	操縦
おだやかなヒョウジョウを浮かべる。	表情
カイジュウ策を取る。	懐柔
万事ジュウナンに対応する。	柔軟
ホウジュウな生活を続ける。	放縦
大統領にシュウニンスル。	就任
シュウシン時間が迫る。	就寝
深くキョウシュクスル。	恐縮
悪いシュウカンを改める。	習慣
判決によりシュウカンされる。	収監
筋肉がシュウサクスル。	収縮
情報をシュウシュウスル。	収集
シュウシがつかない。	収拾
本作品はジュウサクが多い。	秀作
コウツな成績を収める。	優秀
兵役をメンジョする。	免除
記念碑のジョマク式に出る。	除幕
ほこりをジョキョする。	除去
ショセイ術を身に付ける。	処世
早急にショチする。	処置
問題のタイショを誤る。	対処
ショホウ薬をもらう。	処方
ジョリ能力が高い。	処理
ショセツある。	諸説
ジョハンの事情で閉店する。	諸般
社会のチツジョが乱れる。	秩序
本のジョブンを書く。	序文
年功ジョレツ型の賃金体制。	序列
ジュントウに勝ち進む。	順当
血液が体内にジュンカンする。	循環
ジュンスイな。	純粋
ジュンカされた。	純化
ジュンタクに蓄える。	潤沢
シツジュンな気候。	湿潤
法律をジュンヨウする。	準用
シュコウを変える。	趣向
シュミを添える。	趣味
おもむきに富んだ和歌。	趣
ニャクハイには負けられぬ。	若輩
ワカゲの至りで犯した過ち。	若気
ボウジャクブジンなふるまい。	傍若無人
容疑者をシャクホウする。	釈放
原液をキシャクする。	希釈
事故のシャクメイをする。	釈明
セイジャクに包まれた館内。	静寂
カンジャクな茶室。	閑寂
規則をシッコウする。	執行
小説のシッピツに励む。	執筆
過去にシュウチャクするな。	執着
シュウネンでねばり勝つ。	執念
不信をチンシャする。	陳謝
支援にカンシャする。	感謝
シンチンタイシャ。	代謝
道具をハイシャクする。	拝借
富士山をシャッケイした庭。	借景
光をショウシャする。	照射
獲物がシャテイ距離に入る。	射程
シシャゴニュウをする。	四捨五入
